hour amb tz_v3 tz_v35 tz_hy ts_v3 ts_v35 ts_hy p_v3 p_v35 p_hy
18.5 7.100000000000023 22.186107317172002 29.538793695505092 23.058684003638803 19.523274421691895 35.0 18.652291238307953 0.24778157325170994 1.7689930252879436 0.1803159427143016
18.75 6.726875000000007 22.00617191548872 21.417126250883655 23.118902809211704 19.605183839797974 18.0 19.319564312696457 0.25121221821751144 0.8047753112060515 0.14438908755302968
19.0 6.3349999999999795 22.105014296195975 29.431882332693533 23.009817536113417 20.156750589609146 35.0 19.49917408823967 0.20667054381626496 1.904090490071689 0.1342173029760034
19.25 5.950625000000002 21.93590337788396 21.23396482934089 22.944823234219427 20.0831019282341 18.0 19.81252858042717 0.20617796022252374 0.770819377959038 0.11635508199112685
19.5 5.600000000000023 21.981485650038792 29.31819258879318 22.8667858367416 20.464864909648895 35.0 20.08603385090828 0.1718196233436849 2.0170092952665786 0.10172733712494647
19.75 5.300625000000025 22.003626012742984 21.06443803011541 22.87811406356036 20.815067797899246 18.0 20.768059760332108 0.14745585958743745 0.7394110177289174 0.07573207261750528
20.0 5.035000000000025 21.94147212299447 29.211445459240736 22.803796089183265 20.908175975084305 35.0 21.06604838371277 0.13414077408549369 2.110779249302343 0.0641988072349358
20.25 4.776875000000018 21.92076910874323 20.907751791707653 22.73670073369277 21.079201251268387 18.0 21.3643197119236 0.11458674524251136 0.7104004723860226 0.051362638680259975
20.5 4.5 21.8639651892978 29.104185571153323 22.671366273691433 21.160601496696472 35.0 21.651664346456528 0.10088595222800191 2.1899117725227253 0.03879095304994485
20.75 4.202499999999986 22.044250019850097 20.757050651048303 22.686982371124714 21.77532136440277 18.0 22.302483290433884 0.05833751790587823 0.6825148393458492 0.01605167013333021
21.0 3.9016666666666424 21.90012566300237 29.016133409424697 22.646620147350177 21.637125819921494 35.0 22.62334668636322 0.06008432711665408 2.276638101854422 0.002689947745117496
21.25 3.6000000000000227 21.941873833773684 20.6112341982452 22.59625824091495 21.912150502204895 18.0 22.88926300406456 0.03423507906441889 0.6555483812905273 0.042697001973786744
21.5 3.3000000000000114 21.84982335924417 28.88443529020242 22.541208907638293 21.88385570049286 35.0 23.116364657878876 0.04350593448649795 2.343563878616927 0.0854154622105528
21.75 3.044687500000009 22.04408596826312 20.470139988239566 22.5707722451956 22.489329397678375 18.0 23.61312162876129 0.19076787409954385 0.6294631162722609 0.1650816616234321
22.0 2.825833333333321 21.996041444756088 28.77457713871354 22.553889360971823 22.527144461870193 35.0 23.824085548520088 0.22425789825973544 2.415088346840485 0.2169525722182775
22.25 2.5690624999999727 22.012114071652434 20.33794629777617 22.524794350194384 22.72752569615841 18.0 23.988178730010986 0.2873148726078085 0.6050253178946803 0.26345390606805685
22.5 2.1999999999999886 21.988057803665413 28.627328888145314 22.487229735971027 22.84054708480835 35.0 24.13395157456398 0.33471097015684864 2.4701847831461343 0.3089548618990616
22.75 1.677812500000016 22.286260431391725 20.1955957545199 22.630915739347927 23.636176764965057 18.0 24.821915045380592 0.5269229047318793 0.5787119096667884 0.44062819229658184
23.0 1.0491666666666788 22.255651662812 28.484107639047295 22.627501384243203 23.701832681894302 35.0 24.906226441264153 0.5732701372746629 2.553901414901687 0.5050497957721197
23.25 0.370937500000025 22.254542120602423 20.03445069042084 22.57926193413664 23.89114435017109 18.0 24.938609063625336 0.6402433103007048 0.5489262273781081 0.5583338093543974
23.5 -0.30000000000001137 22.22239870881782 28.272403967047637 22.521771208886832 24.013369858264923 35.0 24.981756255030632 0.6962801569873243 2.627610809024913 0.6111550124209998
23.75 -0.9488281249999773 22.45184682492726 19.866389546051266 22.68859629584881 24.639628693461418 18.0 25.59808014333248 0.8529196327906946 0.5178640825674914 0.7564032999550243
24.0 -1.5985416666666765 22.438238559303045 28.075337927869782 22.678365723859997 24.738890513777733 35.0 25.587997764348984 0.9057795998302207 2.7124102447949756 0.817754599136632
24.25 -2.2489843750000205 22.429114067065143 19.69841716849305 22.634929866446896 24.89649237692356 18.0 25.57562493160367 0.9654571728065017 0.4868200736052513 0.8706805861861086
24.5 -2.8999999999999773 22.40179151477645 27.844708488274534 22.58472608320784 25.01973344385624 35.0 25.581949945539236 1.0206066989656983 2.785109913588087 0.9231710534921362
24.75 -3.6061718749999727 22.618168956886166 19.5261085182334 22.79101383884222 25.605103369802237 18.0 26.153614291921258 1.178925890841225 0.4549763401967264 1.078993288156924
25.0 -4.356875000000002 22.61459716488025 27.623143886535388 22.762874709050948 25.74516999721527 35.0 26.079545056447387 1.2446749159537607 2.8754594083208143 1.1404333963278384
25.25 -5.054140625000002 22.59837206865126 19.34508142577596 22.71548490862631 25.902538362890482 18.0 26.049466598778963 1.310170439902317 0.4215237096994975 1.200877920053296
25.5 -5.600000000000023 22.575650809567207 27.370599539280306 22.669700979319657 26.038628693670034 35.0 26.041347922757268 1.3708544888922307 2.95370163720053 1.2597315810958063
25.75 -5.929140625000002 22.660608001575042 19.17919615025062 22.724192485103913 26.33697503618896 18.0 26.210014823824167 1.469161144017062 0.39086919675010884 1.3517716234867727
26.0 -6.106875000000002 22.68213052571849 27.155070657053784 22.718854335147853 26.49513467773795 35.0 26.21400961279869 1.5262260611654306 3.016834253863156 1.4063335510376667
26.25 -6.231171874999973 22.703540187327178 19.043661292560216 22.717958497101165 26.64506734907627 18.0 26.24542768858373 1.5778134554798846 0.365825202532458 1.4568508812536494
26.5 -6.399999999999977 22.725521250779252 26.960114653650464 22.713901491870274 26.781066674739122 35.0 26.27851165831089 1.627769215525497 3.0628721782354655 1.5037583032777861
26.75 -6.624003906249982 22.801829775461442 18.914716131473767 22.790083475248593 27.01858014985919 18.0 26.489515285938978 1.7006869386479742 0.3420005858426578 1.584985191538346
27.0 -6.8485937500000205 22.858185996862233 26.77794413358106 22.782399374177146 27.166822861880064 35.0 26.487837359309196 1.7609956098961976 3.1133477132983853 1.6286536424921327
27.25 -7.073886718749975 22.922734720890332 18.786684975776836 22.771049824471845 27.29549991711974 18.0 26.497693143785 1.821954951137637 0.3183464173880027 1.6713932780933731
27.5 -7.300000000000011 22.991226314976757 26.59478227079785 22.754150806588996 27.40706193074584 35.0 26.50408687070012 1.8866251782700976 3.1602177121324675 1.711422975971105
27.75 -7.560253906250011 23.131686592886524 18.661541302483045 22.83465856297596 27.62604069709778 18.0 26.704501796513796 1.9828073146431242 0.29522666487404275 1.7901868108790762
28.0 -7.850781250000011 23.208746944244695 26.428781426512046 22.816252412640665 27.724812850356102 35.0 26.675529301166534 2.0499667213282717 3.21217404869351 1.8241144329681167
28.25 -8.115917968750011 23.24199269482068 18.54117125114641 22.79119730117236 27.75463618338108 18.0 26.652997966855764 2.0981511366607557 0.27298901101471446 1.8533991198865276
28.5 -8.300000000000011 23.23629152564604 26.275121046339393 22.76340758132841 27.71871367096901 35.0 26.627792589366436 2.1249914449217964 3.2569245114224 1.8757294422836996
28.75 -8.306249999999977 23.15424576323926 18.438096842893287 22.680160313281817 27.566759318113327 18.0 26.510089471936226 2.1138451696190805 0.25394933515813856 1.8707154355804965
29.0 -8.149999999999977 23.082666089112877 26.145582529227113 22.657386989800784 27.419610630720854 35.0 26.51784561574459 2.10559556194402 3.2841531667359387 1.883519869326866
29.25 -7.943750000000023 23.000877049990038 18.35768359727865 22.63785660149307 27.25782759860158 18.0 26.525958497077227 2.0910303412117686 0.23909912856992227 1.8929687951116085
29.5 -7.800000000000011 22.906528628143235 26.044103803341784 22.613926712583748 27.08381251618266 35.0 26.53311788290739 2.0735761562146453 3.3094085665222255 1.9012453760260473
29.75 -7.725000000000023 22.75926692214125 18.27989709261618 22.54141914838175 26.841348856687546 18.0 26.469534754753113 2.037876131743027 0.22473449580434088 1.8932473039220927
